Team,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Lille,Mohamed Lamine Bayo,gn GUI,FW,26.0,3.5,12,3.51,7,0,1,3,0,1,2,0.58,0,0,0,1,0,1
Lille,Nabil Bentaleb,dz ALG,MF,29.0,3.7,4,1.09,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lille,Ethan Mbappé,fr FRA,MF,17.0,2.5,19,7.74,10,4,1,3,0,1,2,0.81,0,0,0,2,0,0
Lille,Younes Lachaab,fr FRA,MF,19.0,0.1,2,20.0,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0
Lille,Ousmane Toure,fr FRA,DF,19.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lille,Aaron Malouda,fr FRA,FW,18.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lyon,Lucas Perri,br BRA,GK,26.0,33.0,4,0.12,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0
Lyon,Moussa Niakhate,sn SEN,DF,28.0,30.3,21,0.69,20,0,0,1,0,0,2,0.07,2,0,0,0,0,0
Lyon,Clinton Mata,ao ANG,DF,31.0,26.4,25,0.95,22,1,1,0,1,0,6,0.23,5,0,1,0,0,0
Lyon,Corentin Tolisso,fr FRA,MF,29.0,26.0,81,3.13,74,0,1,5,1,0,15,0.58,14,0,0,1,0,0
Lyon,Nemanja Matić,rs SRB,MF,35.0,22.5,49,2.2,48,0,0,1,0,0,4,0.18,4,0,0,0,0,0
Lyon,Alexandre Lacazette,fr FRA,FW,33.0,23.0,56,2.46,41,0,4,7,3,1,5,0.22,2,0,0,3,0,0
Lyon,Rayan Cherki,fr FRA,FW,20.0,22.8,146,6.44,101,21,11,9,4,0,20,0.88,15,2,1,2,0,0
Lyon,Nicolás Tagliafico,ar ARG,DF,31.0,21.2,28,1.32,24,0,0,2,2,0,6,0.28,3,0,0,1,2,0
Lyon,Ainsley Maitland-Niles,eng ENG,DF,26.0,22.1,55,2.49,47,1,1,5,0,1,6,0.27,6,0,0,0,0,0
Lyon,Jordan Veretout,fr FRA,MF,31.0,17.4,36,2.09,30,3,0,2,0,1,1,0.06,0,0,0,1,0,0
Lyon,Duje Ćaleta-Car,hr CRO,DF,27.0,17.6,5,0.28,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lyon,Malick Fofana,be BEL,FW,19.0,17.8,55,3.12,41,0,6,3,5,0,11,0.62,8,0,2,1,0,0
Lyon,Georges Mikautadze,ge GEO,FW,23.0,16.2,49,3.05,39,0,3,4,3,0,12,0.75,8,0,2,0,2,0
Lyon,Tanner Tessmann,us USA,MF,22.0,13.8,18,1.31,10,2,2,1,2,1,1,0.07,0,0,0,0,1,0
Lyon,Ernest Nuamah,gh GHA,FW,20.0,11.8,35,2.99,27,3,0,4,1,0,2,0.17,2,0,0,0,0,0
Lyon,Abner,br BRA,DF,24.0,12.2,25,2.06,21,3,0,1,0,0,1,0.08,1,0,0,0,0,0
Lyon,Sael Kumbedi,fr FRA,DF,19.0,10.6,15,1.42,13,0,0,1,1,0,4,0.38,4,0,0,0,0,0
Lyon,Thiago Almada,ar ARG,MF,23.0,10.6,52,4.92,39,8,1,3,1,0,11,1.04,10,0,0,0,1,0
Lyon,Saïd Benrahma,dz ALG,FW,28.0,8.2,27,3.31,17,7,3,0,0,0,6,0.74,5,0,1,0,0,0
Lyon,Maxence Caqueret,fr FRA,MF,24.0,6.4,14,2.2,12,0,1,1,0,0,1,0.16,1,0,0,0,0,0
Lyon,Gift Orban,ng NGA,"FW,DF",22.0,2.1,2,0.97,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Lyon,Rémy Descamps,fr FRA,GK,28.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lyon,Wilfried Zaha,ci CIV,FW,31.0,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lyon,Orel Mangala,be BEL,MF,26.0,0.8,3,4.03,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lyon,Mama Samba Baldé,gw GNB,FW,28.0,0.4,1,2.73,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Lyon,Alejandro Rodriguez,pt POR,MF,16.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lyon,Paul Akouokou,ci CIV,MF,26.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lyon,Mahamadou Diawara,fr FRA,MF,19.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lyon,Warmed Omari,km COM,DF,24.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lyon,Téo Barisic,fr FRA,DF,19.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lyon,Adryelson,br BRA,DF,26.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Strasbourg,Andrey Santos,br BRA,MF,20.0,31.7,56,1.77,47,0,1,1,2,5,6,0.19,4,0,0,0,1,1
Strasbourg,Đorđe Petrović,rs SRB,GK,24.0,31.0,2,0.06,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Strasbourg,Ismaël Doukouré,fr FRA,DF,21.0,29.4,22,0.75,19,0,0,0,1,2,4,0.14,4,0,0,0,0,0
Strasbourg,Guela Doué,ci CIV,DF,21.0,30.2,44,1.46,31,2,4,4,1,2,5,0.17,5,0,0,0,0,0
Strasbourg,Diego Moreira,pt POR,DF,19.0,28.7,67,2.35,44,5,10,4,2,2,10,0.35,7,0,1,0,1,1
Strasbourg,Dilane Bakwa,fr FRA,MF,21.0,27.9,110,3.97,67,21,10,3,7,2,16,0.58,13,1,1,0,1,0
Strasbourg,Mamadou Sarr,fr FRA,DF,18.0,26.3,12,0.46,10,0,0,2,0,0,2,0.08,1,0,0,1,0,0
Strasbourg,Habib Diarra,sn SEN,MF,20.0,26.2,57,2.18,47,1,0,3,6,0,8,0.31,6,0,0,0,2,0
Strasbourg,Emanuel Emegha,nl NED,FW,21.0,25.6,32,1.26,25,0,3,1,3,0,4,0.16,3,0,1,0,0,0
Strasbourg,Sebastian Nanasi,se SWE,MF,22.0,23.7,85,3.63,61,16,2,4,1,1,17,0.73,11,4,0,2,0,0
Strasbourg,Félix Lemaréchal,fr FRA,MF,20.0,19.9,56,2.83,48,3,3,2,0,0,6,0.3,6,0,0,0,0,0
Strasbourg,Valentín Barco,ar ARG,MF,20.0,13.0,20,1.56,17,0,1,1,1,0,6,0.47,6,0,0,0,0,0
Strasbourg,Saidou Sow,gn GUI,DF,22.0,11.3,6,0.53,6,0,0,0,0,0,1,0.09,1,0,0,0,0,0
Strasbourg,Abakar Sylla,ci CIV,DF,21.0,10.6,4,0.38,3,0,0,1,0,0,1,0.09,0,0,0,1,0,0
Strasbourg,Sekou Mara,fr FRA,FW,22.0,8.6,10,1.17,5,0,2,3,0,0,2,0.23,0,0,0,2,0,0
Strasbourg,Andrew Omobamidele,ie IRL,DF,22.0,6.0,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Strasbourg,Guimissongui Ouattara,fr FRA,DF,18.0,5.3,9,1.72,5,1,0,1,0,2,3,0.57,2,1,0,0,0,0
Strasbourg,Samuel Amo-Ameyaw,eng ENG,DF,18.0,3.6,14,3.93,9,1,2,2,0,0,1,0.28,1,0,0,0,0,0
Strasbourg,Karl-Johan Johnsson,se SWE,GK,34.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
