Team,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Lille,Jonathan David,ca CAN,FW,24.0,28.5,16,66,28,42.4,2.32,0.98,0.15,0.36,15.3,0,6,7,16.2,10.7,0.16,-0.2,-0.7
Lille,Thomas Meunier,be BEL,DF,32.0,21.5,2,28,11,39.3,1.3,0.51,0.07,0.18,16.6,0,0,0,1.9,1.9,0.07,0.1,0.1
Lille,Hákon Arnar Haraldsson,is ISL,MF,21.0,19.7,5,35,13,37.1,1.78,0.66,0.14,0.38,17.1,2,0,0,3.8,3.8,0.11,1.2,1.2
Lille,Gabriel Gudmundsson,se SWE,DF,25.0,20.0,2,18,5,27.8,0.9,0.25,0.11,0.4,18.8,0,0,0,0.7,0.7,0.04,1.3,1.3
Lille,Aïssa Mandi,dz ALG,DF,32.0,19.3,0,6,2,33.3,0.31,0.1,0.0,0.0,9.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Lille,André Gomes,pt POR,MF,31.0,14.3,0,11,3,27.3,0.77,0.21,0.0,0.0,24.5,1,0,0,0.5,0.5,0.05,-0.5,-0.5
Lille,Ngal'Ayel Mukau,cd COD,MF,19.0,13.3,0,11,2,18.2,0.82,0.15,0.0,0.0,22.3,0,0,0,0.8,0.8,0.07,-0.8,-0.8
Lille,Mitchel Bakker,nl NED,"FW,DF",24.0,12.7,3,23,10,43.5,1.8,0.78,0.13,0.3,18.9,5,0,0,3.0,3.0,0.13,0.0,0.0
Lille,Matias Fernandez-Pardo,be BEL,FW,19.0,11.9,4,23,12,52.2,1.93,1.0,0.17,0.33,17.8,0,0,0,2.9,2.9,0.12,1.1,1.1
Lille,Rémy Cabella,fr FRA,FW,34.0,11.3,1,30,7,23.3,2.65,0.62,0.03,0.14,14.7,1,0,0,4.0,4.0,0.13,-3.0,-3.0
Lille,Edon Zhegrova,xk KVX,FW,25.0,10.9,4,23,9,39.1,2.1,0.82,0.17,0.44,22.2,2,0,0,2.3,2.3,0.1,1.7,1.7
Lille,Ayyoub Bouaddi,fr FRA,MF,16.0,12.9,0,3,1,33.3,0.23,0.08,0.0,0.0,19.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Lille,Osame Sahraoui,ma MAR,FW,23.0,14.5,3,23,8,34.8,1.59,0.55,0.13,0.38,15.6,0,0,0,2.9,2.9,0.13,0.1,0.1
Lille,Ismaily,br BRA,DF,34.0,10.1,0,10,4,40.0,0.99,0.4,0.0,0.0,18.5,0,0,0,0.7,0.7,0.07,-0.7,-0.7
Lille,Angel Gomes,eng ENG,MF,23.0,8.2,1,8,2,25.0,0.97,0.24,0.13,0.5,21.8,2,0,1,1.7,0.9,0.11,-0.7,0.1
Lille,Chuba Akpom,eng ENG,FW,28.0,7.2,3,18,9,50.0,2.52,1.26,0.11,0.22,13.2,0,1,2,5.0,3.4,0.19,-2.0,-1.4
Lille,Tiago Santos,pt POR,DF,22.0,4.5,0,8,4,50.0,1.77,0.88,0.0,0.0,20.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4
